box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
6.91亿,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵,杰森·莫玛",扎克·施奈德,正义联盟,"动作,冒险,科幻",https://p1.meituan.net/movie/8798032469af2faf18e531f7cdedc39e998644.jpg@464w_644h_1e_1c,2017-11-17,8.6
12.99亿,"Aamir,沙克希·坦沃,法缇玛·萨那·纱卡,桑亚·玛荷塔",涅提·蒂瓦里,摔跤吧！爸爸,"喜剧,动作,家庭",https://p0.meituan.net/movie/aeb864fa21d578d845b9cefc056e40cb2874891.jpg@464w_644h_1e_1c,2017-05-05,9.8
12.12亿,"阿德里安·莫利纳,安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",李·昂克里奇,寻梦环游记,"动画,冒险,家庭",https://p1.meituan.net/movie/14f9018b371d94dd812772704613babd475457.jpg@464w_644h_1e_1c,2017-11-24,9.6
22.13亿,"张吃鱼,艾伦,马丽,沈腾",宋阳,羞羞的铁拳,"喜剧,奇幻",https://p0.meituan.net/movie/6118ed91ab345f18fa6ccd3997b5ac071016155.jpg@464w_644h_1e_1c,2017-09-30,9.1
3.14亿,"詹妮弗·劳伦斯,克里斯·帕拉特,麦克·辛,劳伦斯·菲什伯恩",莫滕·泰杜姆,太空旅客,"爱情,冒险,科幻",https://p0.meituan.net/movie/7ae30c6d40be91a19b84024ebbed52a7232325.jpg@464w_644h_1e_1c,2017-01-13,8.5
15.51亿,"马克·沃尔伯格,安东尼·霍普金斯,乔什·杜哈明,劳拉·哈德克",迈克尔·贝,变形金刚5：最后的骑士,"动作,冒险,科幻",https://p1.meituan.net/movie/ca0ac960ba900395084960270b5b0ad9790739.jpg@464w_644h_1e_1c,2017-06-23,7.5
19.42亿,"韩庚,郑恺,于文文,曾梦雪",田羽生,前任3：再见前任,"喜剧,爱情",https://p1.meituan.net/movie/b550ee8f2d4192015073fc878b141161336659.jpg@464w_644h_1e_1c,2017-12-29,9.2
1.03亿,"何润东,黄子韬,古力娜扎,王学圻",高希希,游戏规则,"剧情,动作",https://p0.meituan.net/movie/a330500287086bb1c1004b252e7002c0347382.jpg@464w_644h_1e_1c,2017-02-10,7.6
7.44亿,"克里斯·海姆斯沃斯,凯特·布兰切特,汤姆·希德勒斯顿,马克·鲁法洛",塔伊加·维迪提,雷神3：诸神黄昏,"动作,冒险,奇幻",https://p0.meituan.net/movie/f2e7911c6915c42d19700234b7608dd7437140.jpg@464w_644h_1e_1c,2017-11-03,8.9
26.71亿,"范·迪塞尔,杰森·斯坦森,道恩·强森,米歇尔·罗德里格兹",F·加里·格雷,速度与激情8,"动作,惊悚,犯罪",https://p0.meituan.net/movie/9f61bf914c6881b4d1d297ddef796a62207111.jpg@464w_644h_1e_1c,2017-04-14,9.3
56.83亿,"吴京,弗兰克·格里罗,吴刚,张翰",吴京,战狼2,"动作,战争",https://p0.meituan.net/movie/2328ab4f26258506955f70ccd9120c14367146.jpg@464w_644h_1e_1c,2017-07-27,9.7
7.75亿,"汤姆·赫兰德,迈克尔·基顿,小罗伯特·唐尼,玛丽莎·托梅",乔·沃茨,蜘蛛侠：英雄归来,"动作,冒险,科幻",https://p1.meituan.net/movie/4871b40136f0dbb316605ed3ec4333db497541.jpg@464w_644h_1e_1c,2017-09-08,8.2
6.10亿,"盖尔·加朵,克里斯·派恩,罗宾·怀特,丹尼·休斯顿",派蒂·杰金斯,神奇女侠,"动作,冒险,奇幻",https://p1.meituan.net/movie/d980b5a1b852d32fa482791583ca1a59335078.jpg@464w_644h_1e_1c,2017-06-02,8.6
4.04亿,"刘烨,朱亚文,黄志忠,王景春",刘伟强,建军大业,"剧情,历史",https://p0.meituan.net/movie/e2807e23064278d4a279a7ac6b87dea5382527.jpg@464w_644h_1e_1c,2017-07-27,9.1
11.59亿,"汤姆·希德勒斯顿,塞缪尔·杰克逊,约翰·古德曼,布丽·拉尔森",乔丹·沃格特-罗伯茨,金刚：骷髅岛,"动作,冒险,奇幻",https://p1.meituan.net/movie/7678255f991de7c1e8a7ad97bff7278d265086.jpg@464w_644h_1e_1c,2017-03-24,8.3
1.07亿,"王学圻,陈瑾,墨阳,陈西贝",苗月,十八洞村,剧情,https://p1.meituan.net/movie/b58ef9e2f075884bbd305e7577bfd78f450029.jpg@464w_644h_1e_1c,2017-10-13,8.4
4.74亿,"科林·费斯,塔伦·埃格顿,朱丽安·摩尔,马克·斯特朗",马修·沃恩,王牌特工2：黄金圈,"动作,冒险,喜剧",https://p1.meituan.net/movie/8032e4157e1fb1f6cdb52fcc37698c074599808.jpg@464w_644h_1e_1c,2017-10-20,8.7
4099万,"侯勇,大张伟,金晨,曲哲明",王巍,钢铁飞龙之再见奥特曼,"动画,动作,科幻",https://p1.meituan.net/movie/9f3d8ed14090657c32eac8dd5934afa51015511.jpg@464w_644h_1e_1c,2017-10-01,7.9
7866万,"武内宣之,广濑铃,菅田将晖,松隆子",新房昭之,烟花,"爱情,动画,奇幻",https://p0.meituan.net/movie/75831109d66ad03038d7bb3a30eca9b4269142.jpg@464w_644h_1e_1c,2017-12-01,5.6
11.09亿,"米拉·乔沃维奇,伊恩·格雷,艾丽·拉特,鲁比·罗丝",保罗·安德森,生化危机：终章,"动作,惊悚,科幻",https://p1.meituan.net/movie/f2c42c3bb14aa32726e5e6f42783a5945961833.jpeg@464w_644h_1e_1c,2017-02-24,8.5
266万,"殷果儿,刘小奇,闫薇儿,宋嘉豪",陆诗雷,恐怖电影院2,"恐怖,惊悚",https://p0.meituan.net/movie/913ab2bb77e596faac6e5f5e3831c8a9255571.jpg@464w_644h_1e_1c,2017-10-20,4.8
5.30亿,"黄轩,染谷将太,张雨绮,秦昊",陈凯歌,妖猫传,"爱情,奇幻",https://p0.meituan.net/movie/1dd4a1544f793030519c71899d61e1c0336096.jpg@464w_644h_1e_1c,2017-12-22,7.5
6.86亿,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔",詹姆斯·古恩,银河护卫队2,"动作,冒险,科幻",https://p0.meituan.net/movie/02dee08ca4cd10b99a80986eef23d5be419798.jpg@464w_644h_1e_1c,2017-05-05,9.1
14.23亿,"黄轩,苗苗,钟楚曦,杨采钰",冯小刚,芳华,"剧情,爱情,战争",https://p0.meituan.net/movie/9e4ace8e8aa4499b4d75bb894c4ece39241238.jpg@464w_644h_1e_1c,2017-12-15,9.0
7.30亿,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩,波伊德·霍布鲁克",詹姆斯·曼高德,金刚狼3：殊死一战,"动作,冒险,科幻",https://p1.meituan.net/movie/0b7cc256954866593a8e79009acade71487726.jpg@464w_644h_1e_1c,2017-03-03,8.6
11.80亿,"艾斯彭·山德伯格,约翰尼·德普,哈维尔·巴登,布兰顿·思怀兹",乔阿吉姆·罗恩尼,加勒比海盗5：死无对证,"喜剧,动作,奇幻",https://p1.meituan.net/movie/4c28a03ca31e8545dee276443a4e0a5e417054.jpg@464w_644h_1e_1c,2017-05-26,8.9
3.11亿,"迈克尔·法斯宾德,凯瑟琳·沃特森,比利·克鲁德普,卡门·艾乔戈",雷德利·斯科特,异形：契约,"恐怖,科幻",https://p1.meituan.net/movie/26c992dd332559b3b970ea6147368bba291614.jpg@464w_644h_1e_1c,2017-06-16,6.9
17.49亿,"成龙,李治廷,张艺兴,索努·苏德",唐季礼,功夫瑜伽,"喜剧,动作,冒险",https://p1.meituan.net/movie/d273af80e581b4c60abcbb57a95ad2b72956123.jpg@464w_644h_1e_1c,2017-01-28,8.4
2.24亿,"邓超,阮经天,刘诗诗,余皑磊",徐纪周,心理罪之城市之光,"剧情,动作,犯罪",https://p0.meituan.net/movie/f56e16bf98ac1e5dcbe2f70f9f8ecb3b811616.jpg@464w_644h_1e_1c,2017-12-22,8.8
5.90亿,"艾玛·沃特森,丹·史蒂文斯,卢克·伊万斯,乔什·加德",比尔·康顿,美女与野兽,"爱情,奇幻,歌舞",https://p0.meituan.net/movie/fbc36cd6da82bf584d7203054c17d522342189.jpg@464w_644h_1e_1c,2017-03-17,8.2
4.34亿,"杰拉德·巴特勒,吉姆·斯特吉斯,艾比·考尼什,亚历山德拉·玛丽亚·拉娜",迪安·德夫林,全球风暴,"动作,惊悚,灾难",https://p1.meituan.net/movie/ceca5272db49154554f96829886f175a4555828.jpg@464w_644h_1e_1c,2017-10-27,8.7
5.23亿,"古天乐,吴樾,林家栋,克里斯·柯林斯",叶伟信,杀破狼·贪狼,"剧情,动作,犯罪",https://p0.meituan.net/movie/1e319a04cfbb41c23b021c8275467d04387217.jpg@464w_644h_1e_1c,2017-08-17,8.5
5.35亿,"安东尼·拉默里纳拉,刘亦菲,杨洋,罗晋",赵小丁,三生三世十里桃花,"爱情,奇幻,古装",https://p1.meituan.net/movie/3b87a5292e7005ab71fabd40ca623ba5195750.jpg@464w_644h_1e_1c,2017-08-03,7.1
3.00亿,"大鹏,倪妮,李治廷,周冬雨",袁和平,奇门遁甲,"喜剧,动作,奇幻",https://p1.meituan.net/movie/1f3d6ea8ba5d3bf89067bfe645bbc83f1040002.jpg@464w_644h_1e_1c,2017-12-14,7.6
2.66亿,"张震,杨幂,张译,雷佳音",路阳,绣春刀II：修罗战场,"动作,古装,武侠",https://p0.meituan.net/movie/b0fc6fd58f1592dd31298149734ab2d8382151.jpg@464w_644h_1e_1c,2017-07-19,8.5
3.40亿,"菲恩·怀特海德,汤姆·格林-卡尼,杰克·劳登,哈里·斯泰尔斯",克里斯托弗·诺兰,敦刻尔克,"剧情,战争,历史",https://p1.meituan.net/movie/cc36ac6367aa44ee234d568d86cd6e4b209343.jpg@464w_644h_1e_1c,2017-09-01,8.1
2.47亿,"瑞恩·高斯林,艾玛·斯通,约翰·传奇,J·K·西蒙斯",达米恩·查泽雷,爱乐之城,"剧情,爱情,歌舞",https://p1.meituan.net/movie/41016b663bc5e508962af2419e80d439273086.jpg@464w_644h_1e_1c,2017-02-14,8.6
7.41亿,"安迪·瑟金斯,伍迪·哈里森,加布里埃尔·查瓦里亚,史蒂夫·茨恩",马特·里夫斯,猩球崛起3：终极之战,"剧情,动作,科幻",https://p0.meituan.net/movie/055fe653155bb088c5b7070aab16c917247061.jpg@464w_644h_1e_1c,2017-09-15,8.2
11.25亿,"范·迪塞尔,甄子丹,迪皮卡·帕度柯妮,吴亦凡",D·J·卡卢索,极限特工：终极回归,"动作,惊悚,冒险",https://p1.meituan.net/movie/33411a26462dbda7e6b3297fc6bb5d8f179082.jpg@464w_644h_1e_1c,2017-02-10,8.7
6487万,"徐璐,彭昱畅,刘泳希,骆明劼",王冉,闪光少女,"剧情,喜剧,音乐",https://p1.meituan.net/movie/0002a0c15991847aba14169bc19e6e375165298.jpg@464w_644h_1e_1c,2017-07-20,9.2
1.09亿,"艾米·亚当斯,杰瑞米·雷纳,福里斯特·惠特克,迈克尔·斯图巴",丹尼斯·维伦纽瓦,降临,"悬疑,冒险,科幻",https://p0.meituan.net/movie/0807f31f1b8e0058774a23fba89858842258512.jpeg@464w_644h_1e_1c,2017-01-20,7.8
2260万,"文淇,周美君,史可,耿乐",文晏,嘉年华,"剧情,悬疑",https://p0.meituan.net/movie/7ab4592f82ef346fa0bb78f9287ae338242063.jpg@464w_644h_1e_1c,2017-11-24,8.0
